"Sample Name","Data File","Acquired","Location","Batch","Job Code","Sample ID","User","TWC_Substance01 Rt(min)","TWC_Substance01 AreaAbs","TWC_caffeine Rt(min)","TWC_caffeine AreaAbs","TWC_sulfadoxin Rt(min)","TWC_sulfadoxin AreaAbs","TWC_Substance02 Rt(min)","TWC_Substance02 AreaAbs","TWC_Substance03 Rt(min)","TWC_Substance03 AreaAbs","TWC_hydrodeamination product  Rt(min)","TWC_hydrodeamination product  AreaAbs","TWC_Substance04 Rt(min)","TWC_Substance04 AreaAbs","TWC_Substance05 Rt(min)","TWC_Substance05 AreaAbs","T2-EIC(+)[M+H]_hydrodeamination product  Rt(min)","T2-EIC(+)[M+H]_hydrodeamination product  AreaAbs","T1-EIC(+)[M+H]_caffeine Rt(min)","T1-EIC(+)[M+H]_caffeine AreaAbs","T3-EIC(+)[M+H]_sulfadoxin Rt(min)","T3-EIC(+)[M+H]_sulfadoxin AreaAbs","T3-EIC(+)[M+H]_Substance03 Rt(min)","T3-EIC(+)[M+H]_Substance03 AreaAbs","TWC_Substance06 Rt(min)","TWC_Substance06 AreaAbs","TWC_Substance07 Rt(min)","TWC_Substance07 AreaAbs","TWC_Substance08 Rt(min)","TWC_Substance08 AreaAbs","TWC_Substance09 Rt(min)","TWC_Substance09 AreaAbs","TWC_Substance10 Rt(min)","TWC_Substance10 AreaAbs","TWC_Substance11 Rt(min)","TWC_Substance11 AreaAbs","T2-EIC(+)[M+H]_hydrodeamination product Rt(min)","T2-EIC(+)[M+H]_hydrodeamination product AreaAbs","T2-EIC(+)[M+H]_Substance03 Rt(min)","T2-EIC(+)[M+H]_Substance03 AreaAbs","T3-EIC(+)[M+H]_caffeine Rt(min)","T3-EIC(+)[M+H]_caffeine AreaAbs","TWC_hydrodeamination product Rt(min)","TWC_hydrodeamination product AreaAbs","T3-EIC(+)[M+H]_Substance07 Rt(min)","T3-EIC(+)[M+H]_Substance07 AreaAbs","T3-EIC(+)[M+H]_Substance08 Rt(min)","T3-EIC(+)[M+H]_Substance08 AreaAbs","T2-EIC(+)[M+H]_Substance08 Rt(min)","T2-EIC(+)[M+H]_Substance08 AreaAbs","T3-EIC(+)[M+H]_Substance06 Rt(min)","T3-EIC(+)[M+H]_Substance06 AreaAbs","TWC_Substance12 Rt(min)","TWC_Substance12 AreaAbs","TWC_Substance13 Rt(min)","TWC_Substance13 AreaAbs","T2-EIC(+)[M+H]_Substance05 Rt(min)","T2-EIC(+)[M+H]_Substance05 AreaAbs","T2-EIC(+)[M+H]_Substance09 Rt(min)","T2-EIC(+)[M+H]_Substance09 AreaAbs","T3-EIC(+)[M+H]_Substance04 Rt(min)","T3-EIC(+)[M+H]_Substance04 AreaAbs","T2-EIC(+)[M+H]_Substance06 Rt(min)","T2-EIC(+)[M+H]_Substance06 AreaAbs","T3-EIC(+)[M+H]_Substance02 Rt(min)","T3-EIC(+)[M+H]_Substance02 AreaAbs","T2-EIC(+)[M+H]_Substance02 Rt(min)","T2-EIC(+)[M+H]_Substance02 AreaAbs","T2-EIC(+)[M+H]_Substance10 Rt(min)","T2-EIC(+)[M+H]_Substance10 AreaAbs","T3-EIC(+)[M+H]_Substance09 Rt(min)","T3-EIC(+)[M+H]_Substance09 AreaAbs","T2-EIC(+)[M+H]_Substance07 Rt(min)","T2-EIC(+)[M+H]_Substance07 AreaAbs"
"E2","E2.raw","1/10/2021 7:45:22 AM","21","","YS0500302","","Yuning",0.283,72979.28955,0.348,120230.44382,0.423,36921.57601,0.373,35208.33142,0.398,43672.66223,0,0,0.488,192285.26432,0.535,49707.97669,0,0,0.350,179906.15272,0.427,83440.23401,0,0,0.561,7901.41313,0.609,44545.39454,0.636,11281.71877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F2","F2.raw","1/10/2021 7:47:09 AM","22","","YS0500302","","Yuning",0.284,107969.40265,0.348,161308.19506,0.421,151857.25714,0.396,26482.76565,0.469,289147.62974,0,0,0.487,131726.84726,0.511,23076.29020,0,0,0.352,246237.52050,0.427,113359.34546,0,0,0.542,88411.77243,0.637,21346.10926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G2","G2.raw","1/10/2021 7:48:57 AM","23","","YS0500302","","Yuning",0.282,100125.04162,0.346,136605.24293,0.424,155437.71452,0.364,49041.16023,0.398,21698.13274,0,0,0.466,85108.58555,0.485,20128.33418,0,0,0.352,215783.84837,0.427,216757.79696,0,0,0.513,91338.65042,0.536,100866.69045,0.637,33807.55928,0.736,45427.69233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H2","H2.raw","1/10/2021 7:50:44 AM","24","","YS0500302","","Yuning",0,0,0.352,611609.39841,0.418,61887.35333,0,0,0,0,0,0,0,0,0,0,0,0,0.350,194518.61693,0.425,33162.43397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I2","I2.raw","1/10/2021 7:52:32 AM","25","","YS0500302","","Yuning",0.282,86843.38435,0.346,156410.43292,0.422,115845.48023,0.440,38317.77012,0.466,99167.88383,0.491,60059.51668,0.514,15026.13641,0.541,16020.55071,0.493,368422.33131,0.350,218962.23059,0.427,229979.02388,0,0,0.558,20867.02114,0.735,111130.53831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"J2","J2.raw","1/10/2021 7:54:20 AM","26","","YS0500302","","Yuning",0.283,111077.82826,0.347,210147.78883,0.420,170740.74697,0.369,34589.43878,0.397,87454.94553,0,0,0.448,52508.16622,0.536,367691.64977,0,0,0.350,269855.19899,0.425,84546.58477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K2","K2.raw","1/10/2021 7:56:07 AM","27","","YS0500302","","Yuning",0.284,117834.82292,0.347,157440.01799,0.421,385763.05314,0.396,26929.32343,0.466,12948.87319,0,0,0.486,165119.66422,0.508,35512.36334,0,0,0.352,231054.99382,0.427,304237.73068,0,0,0.541,80051.84365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L2","L2.raw","1/10/2021 7:57:55 AM","28","","YS0500302","","Yuning",0.282,88803.71655,0.346,179989.38894,0.423,347892.27333,0.372,50679.24569,0.440,82872.29052,0,0,0.467,38094.02332,0.485,12234.70015,0,0,0.350,270689.66351,0.425,601771.23979,0,0,0.587,170614.14469,0.655,19567.99301,0.678,16184.94370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.664,3967.11882,0.589,32290.93577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2","M2.raw","1/10/2021 7:59:42 AM","29","","YS0500302","","Yuning",0.284,79601.22759,0.348,165301.06859,0.426,21691.54652,0.327,7304.83709,0.398,56748.81602,0,0,0.447,64317.41736,0.470,10262.89988,0,0,0.350,213382.05000,0.427,26961.89469,0,0,0.489,44292.19736,0.512,21410.25069,0.536,110258.76996,0.574,24992.44184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2","N2.raw","1/10/2021 8:01:30 AM","30","","YS0500302","","Yuning",0.283,121039.82204,0.347,154886.35181,0.423,211955.95873,0.394,91363.46961,0.467,359657.36679,0,0,0.483,64213.84571,0.536,184396.90673,0,0,0.350,220073.26803,0.425,401822.13547,0,0,0.735,591675.35936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
