"Sample Name","Data File","Acquired","Location","Batch","Job Code","Sample ID","User","TWC_Substance01 Rt(min)","TWC_Substance01 AreaAbs","TWC_Substance02 Rt(min)","TWC_Substance02 AreaAbs","TWC_caffeine Rt(min)","TWC_caffeine AreaAbs","TWC_Substance03 Rt(min)","TWC_Substance03 AreaAbs","TWC_sulfadoxin Rt(min)","TWC_sulfadoxin AreaAbs","TWC_Substance04 Rt(min)","TWC_Substance04 AreaAbs","TWC_Substance05 Rt(min)","TWC_Substance05 AreaAbs","T1-EIC(+)[M+H]_caffeine Rt(min)","T1-EIC(+)[M+H]_caffeine AreaAbs","T3-EIC(+)[M+H]_sulfadoxin Rt(min)","T3-EIC(+)[M+H]_sulfadoxin AreaAbs","TWC_Substance06 Rt(min)","TWC_Substance06 AreaAbs","T3-EIC(+)[M+H]_Substance03 Rt(min)","T3-EIC(+)[M+H]_Substance03 AreaAbs","TWC_hydrodeamination product  Rt(min)","TWC_hydrodeamination product  AreaAbs","T2-EIC(+)[M+H]_hydrodeamination product  Rt(min)","T2-EIC(+)[M+H]_hydrodeamination product  AreaAbs","TWC_Substance07 Rt(min)","TWC_Substance07 AreaAbs","TWC_Substance08 Rt(min)","TWC_Substance08 AreaAbs","TWC_Substance09 Rt(min)","TWC_Substance09 AreaAbs","T2-EIC(+)[M+H]_Substance05 Rt(min)","T2-EIC(+)[M+H]_Substance05 AreaAbs","T2-EIC(+)[M+H]_Substance06 Rt(min)","T2-EIC(+)[M+H]_Substance06 AreaAbs","T3-EIC(+)[M+H]_Substance04 Rt(min)","T3-EIC(+)[M+H]_Substance04 AreaAbs","TWC_hydrodeamination product Rt(min)","TWC_hydrodeamination product AreaAbs","T2-EIC(+)[M+H]_hydrodeamination product Rt(min)","T2-EIC(+)[M+H]_hydrodeamination product AreaAbs","T2-EIC(+)[M+H]_Substance08 Rt(min)","T2-EIC(+)[M+H]_Substance08 AreaAbs","TWC_Substance10 Rt(min)","TWC_Substance10 AreaAbs","T3-EIC(+)[M+H]_Substance05 Rt(min)","T3-EIC(+)[M+H]_Substance05 AreaAbs","TWC_Substance11 Rt(min)","TWC_Substance11 AreaAbs","T2-EIC(+)[M+H]_Substance10 Rt(min)","T2-EIC(+)[M+H]_Substance10 AreaAbs","T2-EIC(+)[M+H]_Substance09 Rt(min)","T2-EIC(+)[M+H]_Substance09 AreaAbs","T3-EIC(+)[M+H]_Substance06 Rt(min)","T3-EIC(+)[M+H]_Substance06 AreaAbs","T2-EIC(+)[M+H]_Substance07 Rt(min)","T2-EIC(+)[M+H]_Substance07 AreaAbs","T2-EIC(+)[M+H]_Substance02 Rt(min)","T2-EIC(+)[M+H]_Substance02 AreaAbs"
"F2","F2.raw","1/10/2021 8:00:12 PM","22","","YS0500303","","Yuning",0.283,119844.28011,0.329,236263.08530,0.347,259027.08990,0.372,17706.09123,0,0,0.394,76862.13664,0.486,14026.32522,0.350,164366.61735,0,0,0.543,9372.53702,0.377,21404.30353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G2","G2.raw","1/10/2021 8:02:00 PM","23","","YS0500303","","Yuning",0.285,131563.35493,0.329,284730.78615,0.348,280059.84223,0.374,20786.55264,0,0,0.396,49277.88142,0.485,16468.74625,0.350,164768.57409,0,0,0.543,40954.78195,0.377,26079.66893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H2","H2.raw","1/10/2021 8:03:48 PM","24","","YS0500303","","Yuning",0.284,193528.17324,0.328,146335.99442,0.348,311905.66922,0.373,9194.02534,0,0,0.389,80006.11844,0.486,13205.43841,0.350,173835.28982,0,0,0.543,102496.12570,0.377,16234.89532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I2","I2.raw","1/10/2021 8:05:36 PM","25","","YS0500303","","Yuning",0.283,71853.27391,0.300,28084.03048,0.347,194251.01405,0.328,55100.93245,0.426,29110.05879,0.380,78971.38168,0.541,77377.78768,0.350,169403.38891,0.425,5233.62007,0,0,0,0,0.486,14929.00816,0.493,31329.90466,0,0,0,0,0,0,0,0,0,0,0.377,6703.12954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"J2","J2.raw","1/10/2021 8:07:24 PM","26","","YS0500303","","Yuning",0.282,106958.11599,0.299,9164.74745,0.348,396634.15356,0.328,148171.41341,0,0,0.374,21681.85494,0.424,23489.97365,0.350,165593.58806,0,0,0.484,9125.86981,0,0,0,0,0,0,0.541,95963.62555,0,0,0,0,0,0,0,0,0.377,10370.50416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K2","K2.raw","1/10/2021 8:09:12 PM","27","","YS0500303","","Yuning",0.284,150800.90140,0.329,292129.15818,0.347,238981.32648,0.374,27355.70910,0,0,0.394,88974.82100,0.485,9490.28801,0.350,174938.23005,0,0,0,0,0.377,34411.46199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L2","L2.raw","1/10/2021 8:11:00 PM","28","","YS0500303","","Yuning",0.283,96110.85613,0.329,156697.00202,0.347,276194.84824,0.374,19801.53024,0,0,0.426,7334.04440,0.485,11738.62926,0.350,140486.93229,0,0,0.542,42130.26243,0.377,18090.22069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2","M2.raw","1/10/2021 8:12:48 PM","29","","YS0500303","","Yuning",0.282,113560.80973,0.327,74625.79805,0.347,296296.70957,0.415,33658.02991,0,0,0.451,35391.06360,0.542,50627.37594,0.350,165832.68324,0,0,0.863,8966.91763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2","N2.raw","1/10/2021 8:14:36 PM","30","","YS0500303","","Yuning",0.282,127019.18343,0.328,383383.72226,0.346,205201.28407,0.394,226041.51650,0.432,15264.28180,0.543,54678.07765,0.734,310367.46949,0.350,178382.43762,0.427,25735.81092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O2","O2.raw","1/10/2021 8:16:24 PM","31","","YS0500303","","Yuning",0.283,128450.76203,0.328,285628.40719,0.347,220746.22539,0.374,28498.17429,0,0,0.394,37193.12896,0.484,9770.64929,0.350,164842.89317,0,0,0.542,44562.15646,0.377,33163.66922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
